NPA,NXX,THOUSANDS,"COMPANY TYPE",OCN,COMPANY,LATA,RATECENTER,CLLI,STATE
201,270,8,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,270,9,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,276,,WIRELESS,6919,"AQUIS COMMUNICATIONS, INC.",224,HACKENSACK,NWRKNJ0248Z,NJ,
201,280,,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,281,,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,286,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,0,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,1,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,2,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,3,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,4,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,5,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,6,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,286,7,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,8,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,286,9,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,289,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,289,0,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,289,1,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,289,2,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,289,3,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,289,4,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,HACKENSACK,WAYNNJAWCMS,NJ,
201,289,5,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,289,6,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,289,7,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,289,8,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,289,9,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,0,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,1,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,2,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,3,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,4,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,5,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,6,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,7,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,8,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,290,9,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,291,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,RCPKNJ02DS5,NJ,
201,294,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,296,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,0,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,1,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,2,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,3,IPES,508J,"CENTURYLINK COMMUNICATIONS, LLC",224,HACKENSACK,JRCYNJ67CMD,NJ,
201,296,4,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,5,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,6,CLEC,4948,"CABLEVISION LIGHTPATH, INC. - NJ",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,7,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,8,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,296,9,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,300,,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,"FAIR LAWN",NWRKNJMDDS0,NJ,
201,300,0,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,"FAIR LAWN",NWRKNJMDDS0,NJ,
201,300,1,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,"FAIR LAWN",NWRKNJMDDS0,NJ,
201,300,2,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,"FAIR LAWN",NWRKNJMDDS0,NJ,
201,300,3,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,"FAIR LAWN",NWRKNJMDDS0,NJ,
201,300,4,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,"FAIR LAWN",NWRKNJMDDS0,NJ,
201,300,5,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,"FAIR LAWN",WAYNNJAWCMS,NJ,
201,300,6,CLEC,4948,"CABLEVISION LIGHTPATH, INC. - NJ",224,"FAIR LAWN",NOCLLIKNOWN,NJ,
201,300,7,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,300,8,IPES,829J,"PAETEC ITEL, LLC",224,"FAIR LAWN",NWRKNJ02XMY,NJ,
201,300,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,"FAIR LAWN",WAYNNJAWCMS,NJ,
201,310,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,314,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,315,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,321,,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,"FAIR LAWN",NBWKNJ17QMD,NJ,
201,329,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,329,0,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,329,1,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,329,2,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,329,3,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,329,4,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,329,5,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,HACKENSACK,NBWKNJ17QMD,NJ,
201,329,6,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,329,7,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,329,8,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,329,9,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,LTFYNJLFDS5,NJ,
201,334,,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,HACKENSACK,NWRKNJMDVMD,NJ,
201,334,0,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,HACKENSACK,NWRKNJMDVMD,NJ,
201,334,1,IPES,829J,"PAETEC ITEL, LLC",224,HACKENSACK,HCKNNJGRDS0,NJ,
201,334,2,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,334,3,IPES,829J,"PAETEC ITEL, LLC",224,HACKENSACK,NWRKNJ0209Z,NJ,
201,334,4,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,HACKENSACK,NWRKNJMDVMD,NJ,
201,334,5,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,334,6,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,334,7,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,334,8,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,334,9,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,HACKENSACK,NWRKNJMDVMD,NJ,
201,336,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,HCKNNJHKDS5,NJ,
201,336,0,CLEC,4804,"LEVEL 3 COMMUNICATIONS, LLC - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,336,1,IPES,829J,"PAETEC ITEL, LLC",224,HACKENSACK,NWRKNJ0209Z,NJ,
201,336,2,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,336,3,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,HCKNNJHKDS5,NJ,
201,336,4,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,HACKENSACK,RCPKNJ02GT1,NJ,
201,336,5,CLEC,9003,"NETCARRIER TELECOM, INC. - NJ",224,HACKENSACK,NOCLLIKNOWN,NJ,
201,336,6,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,HCKNNJHKDS5,NJ,
201,336,7,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,HCKNNJHKDS5,NJ,
201,336,8,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,HCKNNJHKDS5,NJ,
201,336,9,IPES,829J,"PAETEC ITEL, LLC",224,HACKENSACK,HCKNNJGRDS0,NJ,
201,342,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,HCKNNJHKDS5,NJ,
201,343,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,HACKENSACK,HCKNNJHKDS5,NJ,
