NPA,NXX,THOUSANDS,"COMPANY TYPE",OCN,COMPANY,LATA,RATECENTER,CLLI,STATE
201,275,6,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,275,7,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,275,8,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,275,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,284,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,284,0,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,284,1,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,284,2,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,284,3,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,284,4,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,284,5,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,284,6,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,284,7,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,284,8,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,284,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,309,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,0,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,1,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,2,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,3,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,4,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,5,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,309,6,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,7,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,8,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,309,9,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,318,,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,RCPKNJ02BMD,NJ,
201,318,0,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,RCPKNJ02BMD,NJ,
201,318,1,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,RCPKNJ02BMD,NJ,
201,318,2,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,RCPKNJ02BMD,NJ,
